Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
1155,24.000,3001.591,3001.032,3001.398,3001.645,3001.766,3001.936,3001.985,3002.047,3002.122,0.000
1160,24.000,3001.616,3000.831,3001.421,3001.594,3001.859,3001.954,3001.974,3002.497,3002.497,0.000
1165,12.000,3001.609,3001.039,3001.441,3001.571,3001.884,3002.005,3002.038,3002.536,3002.536,0.000
1170,24.000,3001.677,3000.748,3001.515,3001.643,3001.869,3002.089,3002.245,3002.362,3002.390,0.000
1175,24.000,3001.627,3000.829,3001.427,3001.613,3001.743,3002.150,3002.393,3002.631,3002.801,0.000
1180,12.000,3001.669,3000.838,3001.456,3001.597,3002.007,3002.170,3002.320,3002.438,3002.438,0.000
1185,24.000,3001.749,3000.964,3001.560,3001.715,3001.942,3002.225,3002.388,3002.675,3002.714,0.000
1190,24.000,3001.624,3000.963,3001.399,3001.603,3001.876,3002.004,3002.258,3002.450,3002.666,0.000
1195,12.000,3001.686,3000.962,3001.380,3001.770,3001.942,3002.179,3002.220,3002.309,3002.309,0.000
1200,24.000,3001.600,3000.856,3001.433,3001.604,3001.797,3001.956,3002.210,3002.433,3002.518,0.000
1205,24.000,3001.637,3000.747,3001.460,3001.637,3001.821,3002.016,3002.135,3002.406,3002.407,0.000
1210,12.000,3001.633,3000.730,3001.449,3001.656,3001.952,3002.065,3002.088,3002.102,3002.102,0.000
1215,24.000,3001.533,3000.778,3001.243,3001.570,3001.779,3002.029,3002.139,3002.331,3002.463,0.000
1220,24.000,3001.346,3000.644,3001.101,3001.346,3001.586,3001.696,3001.857,3001.945,3002.030,0.000
1225,12.000,3001.481,3000.556,3001.266,3001.468,3001.707,3001.932,3002.039,3002.087,3002.087,0.000
1230,24.000,3002.415,3000.725,3001.383,3001.623,3001.841,3007.204,3008.187,3013.118,3013.258,0.000
1235,24.000,3001.705,3000.745,3001.347,3001.653,3001.832,3002.149,3002.349,3002.531,3013.147,0.000
1240,12.000,3001.379,3000.677,3001.143,3001.476,3001.686,3001.755,3001.801,3001.818,3001.818,0.000
1245,24.000,3001.378,3000.458,3001.082,3001.437,3001.667,3001.850,3001.958,3002.005,3002.061,0.000
